transaction_id,user_id,recipient_id,amount,timestamp,location
TXN-1000,User_4,User_1,2496.71,2025-12-05 03:57:56,Pune
TXN-1001,User_8,User_5,1861.74,2025-11-27 07:30:56,Chennai
TXN-1002,User_18,User_3,2647.69,2025-12-19 12:31:56,Bangalore
TXN-1003,User_2,User_1,3523.03,2025-11-26 21:53:56,Pune
TXN-1004,User_8,User_18,1765.85,2025-12-20 01:06:56,Mumbai
TXN-1005,User_18,User_7,1765.86,2025-12-22 05:23:56,Chennai
TXN-1006,User_18,User_14,3579.21,2025-12-02 16:19:56,Bangalore
TXN-1007,User_19,User_9,2767.43,2025-11-22 22:38:56,Kolkata
TXN-1008,User_6,User_15,1530.53,2025-12-08 03:11:56,Delhi
TXN-1009,User_5,User_8,2542.56,2025-12-07 23:12:56,Mumbai
TXN-1010,User_3,User_14,1536.58,2025-11-27 01:11:56,Delhi
TXN-1011,User_12,User_9,1534.27,2025-11-24 15:00:56,Chennai
TXN-1012,User_15,User_19,2241.96,2025-11-28 07:53:56,Bangalore
TXN-1013,User_3,User_19,100.0,2025-12-05 23:46:56,Kolkata
TXN-1014,User_20,User_12,275.08,2025-12-18 22:10:56,Pune
TXN-1015,User_3,User_2,1437.71,2025-12-03 00:28:56,Kolkata
TXN-1016,User_10,User_3,987.17,2025-12-03 05:49:56,Kolkata
TXN-1017,User_4,User_14,2314.25,2025-12-05 07:10:56,Bangalore
TXN-1018,User_12,User_6,1091.98,2025-12-09 11:53:56,Delhi
TXN-1019,User_7,User_10,587.7,2025-12-22 03:22:56,Mumbai
TXN-1020,User_20,User_6,3465.65,2025-12-16 22:58:56,Chennai
TXN-1021,User_8,User_6,1774.22,2025-12-13 16:27:56,Bangalore
TXN-1022,User_9,User_19,2067.53,2025-12-02 15:25:56,Chennai
TXN-1023,User_11,User_2,575.25,2025-12-03 01:43:56,Kolkata
TXN-1024,User_2,User_12,1455.62,2025-12-10 21:43:56,Delhi
TXN-1025,User_3,User_8,2110.92,2025-12-18 11:03:56,Chennai
TXN-1026,User_11,User_7,849.01,2025-12-22 11:27:56,Bangalore
TXN-1027,User_13,User_16,2375.7,2025-11-29 03:36:56,Delhi
TXN-1028,User_5,User_9,1399.36,2025-12-18 04:42:56,Hyderabad
TXN-1029,User_9,User_20,1708.31,2025-12-12 03:30:56,Hyderabad
TXN-1030,User_13,User_12,1398.29,2025-12-02 15:06:56,Pune
TXN-1031,User_17,User_16,3852.28,2025-11-26 18:50:56,Kolkata
TXN-1032,User_2,User_5,1986.5,2025-11-29 14:29:56,Chennai
TXN-1033,User_6,User_15,942.29,2025-12-19 18:59:56,Mumbai
TXN-1034,User_13,User_14,2822.54,2025-12-19 18:25:56,Bangalore
TXN-1035,User_17,User_9,779.16,2025-12-17 19:49:56,Kolkata
TXN-1036,User_1,User_5,2208.86,2025-12-17 02:03:56,Kolkata
TXN-1037,User_9,User_12,100.0,2025-11-27 17:23:56,Delhi
TXN-1038,User_14,User_6,671.81,2025-12-13 07:08:56,Mumbai
TXN-1039,User_9,User_18,2196.86,2025-11-30 18:41:56,Hyderabad
TXN-1040,User_4,User_11,2738.47,2025-12-21 17:27:56,Hyderabad
TXN-1041,User_20,User_7,2171.37,2025-11-29 14:29:56,Delhi
TXN-1042,User_6,User_19,1884.35,2025-12-16 18:50:56,Mumbai
TXN-1043,User_20,User_11,1698.9,2025-12-14 21:14:56,Mumbai
TXN-1044,User_4,User_13,521.48,2025-12-06 15:26:56,Pune
