transaction_id,user_id,amount,timestamp,location
txn_1,user_41,599.34,2024-01-06 01:36:00,Mumbai
txn_2,user_48,472.35,2024-01-13 12:24:00,Pune
txn_3,user_15,629.54,2024-01-07 08:24:00,Mumbai
txn_4,user_44,804.61,2024-01-25 19:41:00,Mumbai
txn_5,user_38,453.17,2024-01-20 04:51:00,Mumbai
txn_6,user_2,453.17,2024-01-05 06:20:00,Pune
txn_7,user_15,815.84,2024-01-23 23:58:00,Hyderabad
txn_8,user_2,653.49,2024-01-26 13:01:00,Pune
txn_9,user_46,406.11,2024-01-30 13:50:00,Hyderabad
txn_10,user_27,608.51,2024-01-11 00:46:00,Bangalore
txn_11,user_38,407.32,2024-01-13 15:51:00,Mumbai
txn_12,user_49,406.85,2024-01-08 06:23:00,Bangalore
txn_13,user_22,548.39,2024-01-13 15:30:00,Pune
txn_14,user_14,117.34,2024-01-16 07:39:00,Mumbai
txn_15,user_6,155.02,2024-01-18 06:58:00,Mumbai
txn_16,user_23,387.54,2024-01-16 15:41:00,Hyderabad
txn_17,user_17,297.43,2024-01-02 23:27:00,Bangalore
txn_18,user_35,562.85,2024-01-06 16:20:00,Bangalore
txn_19,user_6,318.4,2024-01-26 02:58:00,Delhi
txn_20,user_41,217.54,2024-01-29 03:35:00,Delhi
txn_21,user_37,793.13,2024-01-09 18:01:00,Mumbai
txn_22,user_3,454.84,2024-01-11 08:55:00,Delhi
txn_23,user_6,513.51,2024-01-11 14:16:00,Mumbai
txn_24,user_25,215.05,2024-01-13 15:37:00,Bangalore
txn_25,user_41,391.12,2024-01-17 14:29:00,Pune
txn_26,user_24,522.18,2024-01-17 04:03:00,Pune
txn_27,user_43,269.8,2024-01-13 03:36:00,Mumbai
txn_28,user_39,575.14,2024-01-29 21:33:00,Pune
txn_29,user_35,379.87,2024-01-12 03:23:00,Pune
txn_30,user_30,441.66,2024-01-18 06:27:00,Delhi
txn_31,user_41,379.66,2024-01-26 08:20:00,Pune
txn_32,user_44,870.46,2024-01-15 18:12:00,Mumbai
txn_33,user_15,497.3,2024-01-02 11:03:00,Delhi
txn_34,user_26,288.46,2024-01-13 04:26:00,Mumbai
txn_35,user_14,664.51,2024-01-26 19:30:00,Delhi
txn_36,user_14,255.83,2024-01-30 19:54:00,Bangalore
txn_37,user_26,541.77,2024-01-30 06:09:00,Bangalore
txn_38,user_10,108.07,2024-01-13 01:19:00,Pune
txn_39,user_16,234.36,2024-01-26 13:09:00,Hyderabad
txn_40,user_17,539.37,2024-01-27 14:31:00,Bangalore
txn_41,user_38,647.69,2024-01-19 04:15:00,Delhi
txn_42,user_15,534.27,2024-01-07 07:05:00,Hyderabad
txn_43,user_32,476.87,2024-01-05 03:17:00,Mumbai
txn_44,user_8,439.78,2024-01-07 22:56:00,Pune
txn_45,user_44,204.3,2024-01-20 05:06:00,Hyderabad
txn_46,user_5,356.03,2024-01-18 12:16:00,Bangalore
txn_47,user_39,407.87,2024-01-22 07:14:00,Hyderabad
txn_48,user_17,711.42,2024-01-26 04:16:00,Mumbai
txn_49,user_44,568.72,2024-01-06 05:07:00,Hyderabad
txn_50,user_49,147.39,2024-01-13 03:26:00,Delhi
txn_51,user_8,564.82,2024-01-14 08:34:00,Bangalore
txn_52,user_11,422.98,2024-01-21 15:35:00,Mumbai
txn_53,user_47,364.62,2024-01-12 23:41:00,Hyderabad
txn_54,user_49,622.34,2024-01-09 03:08:00,Hyderabad
txn_55,user_7,706.2,2024-01-29 10:59:00,Delhi
txn_56,user_41,686.26,2024-01-24 02:30:00,Hyderabad
txn_57,user_13,332.16,2024-01-07 22:56:00,Delhi
txn_58,user_49,438.16,2024-01-08 08:27:00,Hyderabad
txn_59,user_50,566.25,2024-01-25 03:17:00,Mumbai
txn_60,user_39,695.11,2024-01-15 18:03:00,Bangalore
txn_61,user_2,404.17,2024-01-06 02:11:00,Delhi
txn_62,user_20,462.87,2024-01-11 21:32:00,Mumbai
txn_63,user_16,278.73,2024-01-26 19:42:00,Mumbai
txn_64,user_6,260.76,2024-01-23 02:49:00,Mumbai
txn_65,user_49,662.51,2024-01-25 05:51:00,Pune
txn_66,user_9,771.25,2024-01-22 15:08:00,Hyderabad
txn_67,user_11,485.6,2024-01-13 01:30:00,Hyderabad
txn_68,user_39,700.71,2024-01-20 06:10:00,Pune
txn_69,user_35,572.33,2024-01-10 03:42:00,Delhi
txn_70,user_26,370.98,2024-01-30 13:50:00,Delhi
txn_71,user_29,572.28,2024-01-24 13:19:00,Bangalore
txn_72,user_8,807.61,2024-01-12 06:46:00,Pune
txn_73,user_5,492.83,2024-01-16 09:16:00,Mumbai
txn_74,user_38,812.93,2024-01-26 05:01:00,Pune
txn_75,user_38,33.95,2024-01-11 00:32:00,Mumbai
txn_76,user_5,664.38,2024-01-29 17:19:00,Mumbai
txn_77,user_15,517.41,2024-01-04 01:37:00,Mumbai
txn_78,user_22,440.2,2024-01-04 05:23:00,Hyderabad
txn_79,user_16,518.35,2024-01-13 16:10:00,Bangalore
txn_80,user_14,102.49,2024-01-25 12:59:00,Pune
txn_81,user_47,456.07,2024-01-26 23:43:00,Hyderabad
txn_82,user_31,571.42,2024-01-12 01:25:00,Bangalore
txn_83,user_27,795.58,2024-01-09 15:58:00,Mumbai
txn_84,user_7,396.35,2024-01-30 23:47:00,Bangalore
txn_85,user_23,338.3,2024-01-20 06:39:00,Bangalore
txn_86,user_30,399.65,2024-01-03 11:10:00,Mumbai
txn_87,user_4,683.08,2024-01-19 07:46:00,Delhi
txn_88,user_7,565.75,2024-01-12 07:35:00,Pune
txn_89,user_13,394.05,2024-01-25 09:46:00,Bangalore
txn_90,user_9,602.65,2024-01-20 04:48:00,Pune
txn_91,user_18,519.42,2024-01-22 01:18:00,Pune
txn_92,user_5,693.73,2024-01-21 04:01:00,Hyderabad
txn_93,user_7,359.59,2024-01-03 07:15:00,Hyderabad
txn_94,user_1,434.47,2024-01-05 05:52:00,Pune
txn_95,user_11,421.58,2024-01-19 11:54:00,Bangalore
txn_96,user_31,207.3,2024-01-10 17:28:00,Bangalore
