transaction_id,user_id,recipient_id,amount,timestamp,location
TXN-1001,User_2,User_51,137.0,2025-12-22 02:43:53,Delhi
TXN-1002,User_3,User_52,174.0,2025-12-22 02:28:53,Bangalore
TXN-1003,User_4,User_53,211.0,2025-12-22 02:13:53,Chennai
TXN-1004,User_5,User_54,248.0,2025-12-22 01:58:53,Pune
TXN-1005,User_6,User_55,285.0,2025-12-22 01:43:53,Hyderabad
TXN-1006,User_7,User_56,322.0,2025-12-22 01:28:53,Kolkata
TXN-1007,User_8,User_57,359.0,2025-12-22 01:13:53,Mumbai
TXN-1008,User_9,User_58,396.0,2025-12-22 00:58:53,Delhi
TXN-1009,User_10,User_59,433.0,2025-12-22 00:43:53,Bangalore
TXN-1010,User_11,User_60,470.0,2025-12-22 00:28:53,Chennai
TXN-1011,User_12,User_61,507.0,2025-12-22 00:13:53,Pune
TXN-1012,User_13,User_62,544.0,2025-12-21 23:58:53,Hyderabad
TXN-1013,User_14,User_63,581.0,2025-12-21 23:43:53,Kolkata
TXN-1014,User_15,User_64,618.0,2025-12-21 23:28:53,Mumbai
TXN-1015,User_16,User_50,655.0,2025-12-21 23:13:53,Delhi
TXN-1016,User_17,User_51,692.0,2025-12-21 22:58:53,Bangalore
TXN-1017,User_18,User_52,729.0,2025-12-21 22:43:53,Chennai
TXN-1018,User_19,User_53,766.0,2025-12-21 22:28:53,Pune
TXN-1019,User_20,User_54,803.0,2025-12-21 22:13:53,Hyderabad
TXN-1020,User_1,User_55,840.0,2025-12-21 21:58:53,Kolkata
TXN-1021,User_2,User_56,877.0,2025-12-21 21:43:53,Mumbai
TXN-1022,User_3,User_57,914.0,2025-12-21 21:28:53,Delhi
TXN-1023,User_4,User_58,951.0,2025-12-21 21:13:53,Bangalore
TXN-1024,User_5,User_59,988.0,2025-12-21 20:58:53,Chennai
TXN-1025,User_6,User_60,1025.0,2025-12-21 20:43:53,Pune
TXN-1026,User_7,User_61,1062.0,2025-12-21 20:28:53,Hyderabad
TXN-1027,User_8,User_62,1099.0,2025-12-21 20:13:53,Kolkata
TXN-1028,User_9,User_63,1136.0,2025-12-21 19:58:53,Mumbai
TXN-1029,User_10,User_64,1173.0,2025-12-21 19:43:53,Delhi
TXN-1030,User_11,User_50,1210.0,2025-12-21 19:28:53,Bangalore
TXN-1031,User_12,User_51,1247.0,2025-12-21 19:13:53,Chennai
TXN-1032,User_13,User_52,1284.0,2025-12-21 18:58:53,Pune
TXN-1033,User_14,User_53,1321.0,2025-12-21 18:43:53,Hyderabad
TXN-1034,User_15,User_54,1358.0,2025-12-21 18:28:53,Kolkata
TXN-1035,User_16,User_55,1395.0,2025-12-21 18:13:53,Mumbai
TXN-1036,User_17,User_56,1432.0,2025-12-21 17:58:53,Delhi
TXN-1037,User_18,User_57,1469.0,2025-12-21 17:43:53,Bangalore
TXN-1038,User_19,User_58,1506.0,2025-12-21 17:28:53,Chennai
TXN-1039,User_20,User_59,1543.0,2025-12-21 17:13:53,Pune
TXN-1040,User_1,User_60,1580.0,2025-12-21 16:58:53,Hyderabad
TXN-1041,User_2,User_61,1617.0,2025-12-21 16:43:53,Kolkata
TXN-1042,User_3,User_62,1654.0,2025-12-21 16:28:53,Mumbai
TXN-1043,User_4,User_63,1691.0,2025-12-21 16:13:53,Delhi
TXN-1044,User_5,User_64,1728.0,2025-12-21 15:58:53,Bangalore
TXN-1045,User_6,User_50,1765.0,2025-12-21 15:43:53,Chennai
TXN-1046,User_7,User_51,1802.0,2025-12-21 15:28:53,Pune
TXN-1047,User_8,User_52,1839.0,2025-12-21 15:13:53,Hyderabad
TXN-1048,User_9,User_53,1876.0,2025-12-21 14:58:53,Kolkata
TXN-1049,User_10,User_54,1913.0,2025-12-21 14:43:53,Mumbai
TXN-1050,User_11,User_55,1950.0,2025-12-21 14:28:53,Delhi
TXN-1051,User_12,User_56,1987.0,2025-12-21 14:13:53,Bangalore
TXN-1052,User_13,User_57,2024.0,2025-12-21 13:58:53,Chennai
TXN-1053,User_14,User_58,2061.0,2025-12-21 13:43:53,Pune
TXN-1054,User_15,User_59,2098.0,2025-12-21 13:28:53,Hyderabad
TXN-1055,User_16,User_60,2135.0,2025-12-21 13:13:53,Kolkata
TXN-1056,User_17,User_61,2172.0,2025-12-21 12:58:53,Mumbai
TXN-1057,User_18,User_62,2209.0,2025-12-21 12:43:53,Delhi
TXN-1058,User_19,User_63,2246.0,2025-12-21 12:28:53,Bangalore
TXN-1059,User_20,User_64,2283.0,2025-12-21 12:13:53,Chennai
TXN-1060,User_1,User_50,2320.0,2025-12-21 11:58:53,Pune
TXN-1061,User_2,User_51,2357.0,2025-12-21 11:43:53,Hyderabad
TXN-1062,User_3,User_52,2394.0,2025-12-21 11:28:53,Kolkata
TXN-1063,User_4,User_53,2431.0,2025-12-21 11:13:53,Mumbai
TXN-1064,User_5,User_54,2468.0,2025-12-21 10:58:53,Delhi
TXN-1065,User_6,User_55,2505.0,2025-12-21 10:43:53,Bangalore
